Model No|Description|Size|Colour|BRAND|EAN|F_RETAIL|WSALE|URL|STATUS|STOCKQTY|ONORDERTY|DUEIN|SUPPLIER|LOCATION
37431-9||||ABUS||188.90|94.45|||None|NO|  /  /  |VELO_VITA|W.A
3821918-7000-0||||DEUTER|4046051087160|179.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
3822018-4701-0||||DEUTER|4046051087207|229.99|114.99|||None|NO|  /  /  |VELO_VITA|W.A
39500-8008||||DEUTER|4046051010786|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
39520-8008||||DEUTER|4046051010823|34.99|17.50|||None|NO|  /  /  |VELO_VITA|W.A
39633-5||||ABUS|4003318396335|119.99|64.99|||None|NO|  /  /  |VELO_VITA|W.A
39704-2||||ABUS|4003318397042|199.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
39725-OS||||DEUTER|0784927191125|7.50|3.99|||None|NO|  /  /  |VELO_VITA|W.A
41122-7410||||DEUTER|4046051030494|114.99|62.50|||None|NO|  /  /  |VELO_VITA|W.A
4209017-7490-0||||DEUTER|4046051088570|179.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
43819-6||||ABUS||149.95|84.95|||None|NO|  /  /  |VELO_VITA|W.A
56339-3||||ABUS|4003318563393|34.99|17.50|||None|NO|  /  /  |VELO_VITA|W.A
56342-3||||ABUS|4003318563423|39.99|20.99|||None|NO|  /  /  |VELO_VITA|W.A
57985||||ABUS|4003318579851|199.99|99.99|||None|NO|  /  /  |VELO_VITA|W.A
59217-1||||ABUS|4003318592171|119.99|69.99|||None|NO|  /  /  |VELO_VITA|W.A
59348-2||||ABUS|4003318593482|199.99|99.99|||None|NO|  /  /  |VELO_VITA|W.A
71206-7||||ABUS|4003318712067|79.99|39.99|||None|NO|  /  /  |VELO_VITA|W.A
71617-1||||ABUS|4003318716171|49.99|24.99|||None|NO|  /  /  |VELO_VITA|W.A
72494-7||||ABUS|4003318724947|79.99|39.99|||None|NO|  /  /  |VELO_VITA|W.A
72499 2||||ABUS|4003318724992|39.99|22.50|||None|NO|  /  /  |VELO_VITA|W.A
72983-6||||ABUS|4003318729836|159.99|94.99|||None|NO|  /  /  |VELO_VITA|W.A
73058 0||||CITADEL|403318730580|0.00|7.50|||None|NO|  /  /  |VELO_VITA|W.A
73059 7||||CITADEL|403318730597|0.00|7.99|||None|NO|  /  /  |VELO_VITA|W.A
73062 7||||CITADEL|403318730627|0.00|11.25|||None|NO|  /  /  |VELO_VITA|W.A
73063 4||||CITADEL|403318730634|0.00|12.49|||None|NO|  /  /  |VELO_VITA|W.A
73064 1||||CITADEL|403318730641|0.00|12.49|||None|NO|  /  /  |VELO_VITA|W.A
73065 8||||CITADEL|403318730658|0.00|12.99|||None|NO|  /  /  |VELO_VITA|W.A
73067 2||||CITADEL|403318730672|0.00|19.99|||None|NO|  /  /  |VELO_VITA|W.A
73070 2||||CITADEL|403318730702|0.00|15.99|||None|NO|  /  /  |VELO_VITA|W.A
73071 9||||CITADEL|403318730719|0.00|15.99|||None|NO|  /  /  |VELO_VITA|W.A
73072 6||||CITADEL|403318730726|0.00|18.99|||None|NO|  /  /  |VELO_VITA|W.A
73073 3||||CITADEL|403318730733|0.00|19.99|||None|NO|  /  /  |VELO_VITA|W.A
73077 1||||CITADEL|403318730771|0.00|20.99|||None|NO|  /  /  |VELO_VITA|W.A
73078 8||||CITADEL|403318730788|0.00|18.99|||None|NO|  /  /  |VELO_VITA|W.A
77838-4||||ABUS|4003318778384|269.99|169.99|||None|NO|  /  /  |VELO_VITA|W.A
78060-8||||ABUS|4003318780608|99.99|59.99|||None|NO|  /  /  |VELO_VITA|W.A
78061-5||||ABUS|4003318780615|99.99|59.99|||None|NO|  /  /  |VELO_VITA|W.A
78064-6||||ABUS|4003318780646|149.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
78067-7||||ABUS|4003318780677|269.99|169.99|||None|NO|  /  /  |VELO_VITA|W.A
78068-4||||ABUS|4003318780684|249.99|149.99|||None|NO|  /  /  |VELO_VITA|W.A
78073-8||||ABUS|4003318780738|219.99|129.99|||None|NO|  /  /  |VELO_VITA|W.A
811000001||||FINISHLINE|036121311107|44.99|22.50|||None|NO|  /  /  |VELO_VITA|W.A
82605-4||||ABUS|4003318826054|149.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
865010080||||FINISHLINE|036121711228|44.99|22.50|||None|NO|  /  /  |VELO_VITA|W.A
883600156||||LEKI|4028173011346|69.99|34.99|||None|NO|  /  /  |VELO_VITA|W.A
908000190||||FINISHLINE|0784927191156|1.09|0.55|||None|NO|  /  /  |VELO_VITA|W.A
A00080101||||FINISHLINE|036121210028|44.99|22.50|||None|NO|  /  /  |VELO_VITA|W.A
A03080101||||FINISHLINE|036121210011|13.99|6.99|||None|NO|  /  /  |VELO_VITA|W.A
AJ||||||0.00|0.00|||Low|NO|  /  /  |VELO_VITA|W.A
B00320101||||FINISHLINE|036121620001|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
B00500101||||FINISHLINE|036121621015|179.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
BD0040101||||FINISHLINE|036121001213|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
BM0040101||||FINISHLINE|036121001312|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
C00020101||||FINISHLINE|036121163003|12.99|5.99|||None|NO|  /  /  |VELO_VITA|W.A
C00040101||||FINISHLINE|036121160002|19.99|9.99|||None|NO|  /  /  |VELO_VITA|W.A
C00990101||||FINISHLINE|0784927193211|2.19|1.09|||None|NO|  /  /  |VELO_VITA|W.A
C10100101||||FINISHLINE|0-36121-18500-5|89.99|39.95|||None|NO|  /  /  |VELO_VITA|W.A
C10200101||||FINISHLINE|036121183001|34.99|17.99|||None|NO|  /  /  |VELO_VITA|W.A
C29000101||||FINISHLINE|036121151000|89.99|44.99|||None|NO|  /  /  |VELO_VITA|W.A
CD0120101||||FINISHLINE|036121710399|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
CG0010301||||FINISHLINE|036121610095|79.99|39.99|||None|NO|  /  /  |VELO_VITA|W.A
CG0020101||||FINISHLINE|036121600072|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
CLIFP27||||CLIF|CLIFP27|39.99|19.99|||None|NO|  /  /  |VELO_VITA|W.A
CLIFP37||||CLIF|CLIFP37|119.99|59.99|||None|NO|  /  /  |VELO_VITA|W.A
COMMENT|||||12|0.00|0.00|||None|NO|  /  /  |VELO_VITA|W.A
CP0050101||||FINISHLINE|036121185012|649.99|329.99|||None|NO|  /  /  |VELO_VITA|W.A
CS0120102||||WHITELIGHT|610990330409|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
CW0020101||||FINISHLINE|036121006027|14.99|7.49|||None|NO|  /  /  |VELO_VITA|W.A
CW0040101||||FINISHLINE|036121006058|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
CWE020101||||FINISHLINE|036121006041|14.99|7.49|||None|NO|  /  /  |VELO_VITA|W.A
CWE040101||||FINISHLINE|036121006034|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
D00080101||||FINISHLINE|036121710405|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
D06000101||||FINISHLINE|0784927191248|5.99|2.99|||None|NO|  /  /  |VELO_VITA|W.A
D08000101||||FINISHLINE|0784927191231|5.99|2.99|||None|NO|  /  /  |VELO_VITA|W.A
D12470101||||FINISHLINE|0784927191194|59.99|29.99|||None|NO|  /  /  |VELO_VITA|W.A
D12990101||||FINISHLINE|0784927191279|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
D13990101||||FINISHLINE|0784927191262|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
D19099180||||FINISHLINE||10.00|5.00|||None|NO|  /  /  |VELO_VITA|W.A
D20170101||||FINISHLINE||239.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
D60000101||||FINISHLINE|0784927191217|49.99|24.99|||None|NO|  /  /  |VELO_VITA|W.A
D98000102||||WHITELIGHT|0784927193075|159.99|79.99|||None|NO|  /  /  |VELO_VITA|W.A
D99000001||||WHITELIGHT|0784927193068|79.99|39.99|||None|NO|  /  /  |VELO_VITA|W.A
DL0080101||||FINISHLINE|036121710498|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
E50020102||||WHITELIGHT|610990000043|12.99|5.99|||None|NO|  /  /  |VELO_VITA|W.A
E50040102||||WHITELIGHT|610990001002|19.99|9.99|||None|NO|  /  /  |VELO_VITA|W.A
E50320102||||WHITELIGHT|610990001019|99.99|49.99|||None|NO|  /  /  |VELO_VITA|W.A
EC0020102||||WHITELIGHT|610990300013|25.99|11.99|||None|NO|  /  /  |VELO_VITA|W.A
ED0120101||||FINISHLINE|036121710368|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
ED0200101||||FINISHLINE|036121710375|34.99|16.99|||None|NO|  /  /  |VELO_VITA|W.A
EL0040101||||FINISHLINE|036121710597|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
ES0060101||||FINISHLINE|036121710153|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
F00010301||||FINISHLINE|036121610026|79.99|39.99|||None|NO|  /  /  |VELO_VITA|W.A
F01750101||||FINISHLINE|036121610019|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
G00000101||||FINISHLINE|036121170025|59.99|29.99|||None|NO|  /  /  |VELO_VITA|W.A
G00010301||||FINISHLINE|036121600027|59.99|29.99|||None|NO|  /  /  |VELO_VITA|W.A
G00160102||||WHITELIGHT|610990300105|55.99|27.99|||None|NO|  /  /  |VELO_VITA|W.A
G00350101||||FINISHLINE|036121600003|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
G00350102||||WHITELIGHT|610990300129|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
G00640101||||FINISHLINE|036121600041|179.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
G50000101||||FINISHLINE|036121680906|34.99|16.99|||None|NO|  /  /  |VELO_VITA|W.A
G70000101||||FINISHLINE|036121681200|59.99|29.99|||None|NO|  /  /  |VELO_VITA|W.A
GF0200101||||FINISHLINE|036121950047|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-FRCP-DIAM-L||||GIORDANA|842009125540|219.99|149.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-FRCP-DIAM-M||||GIORDANA|842009125533|219.99|149.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-FRCP-DIAM-S||||GIORDANA|842009125526|249.99|149.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-FRCP-DIAM-XL||||GIORDANA|842009125557|219.99|149.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-SILV-BLCK-L||||GIORDANA|842009120507|199.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-SILV-BLCK-M||||GIORDANA|842009120491|199.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-SILV-BLCK-S||||GIORDANA|842009120484|199.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-BIBS-SILV-BLCK-XL||||GIORDANA|842009120514|199.99|119.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-SSJY-FRCP-DIAM-L||||GIORDANA|842009125120|219.99|129.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-SSJY-FRCP-DIAM-M||||GIORDANA|842009125113|219.99|129.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-SSJY-FRCP-DIAM-S||||GIORDANA|842009125106|219.99|129.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-SSJY-FRCP-DIAM-XL||||GIORDANA|842009125137|219.99|129.99|||None|NO|  /  /  |VELO_VITA|W.A
GICS18-SSJY-SILV-WTBL-L||||GIORDANA|842009120439|159.99|89.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-258BL||||SAPIM|5400540038825|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-260BL||||SAPIM|5400540003250|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-262BL||||SAPIM|5400540003328|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-264BL||||SAPIM|5400540003366|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-266BL||||SAPIM|5400540003403|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-268BL||||SAPIM|5400540039594|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-268X||||SAPIM||109.99|54.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-270BL||||SAPIM|5400540003458|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-272BL||||SAPIM|5400540039891|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-274BL||||SAPIM|5400540040064|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-276BL||||SAPIM|5400540003533|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-278BL||||SAPIM|5400540040392|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-280BL||||SAPIM|5400540003595|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-282BL||||SAPIM|5400540003649|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-284BL||||SAPIM|5400540003694|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-286BL||||SAPIM|5400540003731|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-288BL||||SAPIM|5400540003786|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-290||||SAPIM|5400540003816|115.00|57.50|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-290BL||||SAPIM|5400540003847|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-292||||SAPIM|5400540003861|115.00|57.50|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-292BL||||SAPIM|5400540003892|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-294||||SAPIM|5400540003908|115.00|57.50|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-294BL||||SAPIM|5400540003939|209.99|104.99|||None|NO|  /  /  |VELO_VITA|W.A
GIO14-296||||SAPIM|5400540003946|115.00|57.50|||None|NO|  /  /  |VELO_VITA|W.A
IO||||||0.00|0.00|||None|NO|  /  /  |VELO_VITA|W.A
M00040101||||FINISHLINE|036121005037|19.99|9.99|||None|NO|  /  /  |VELO_VITA|W.A
M00170101||||FINISHLINE|036121710306|32.99|15.99|||None|NO|  /  /  |VELO_VITA|W.A
M00190102||||WHITELIGHT|610990330393|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
M00600101||||FINISHLINE|0784927191149|1.49|0.75|||None|NO|  /  /  |VELO_VITA|W.A
MGL000101||||FINISHLINE|036121710535|12.99|5.99|||None|NO|  /  /  |VELO_VITA|W.A
PC0600101PD||||FINISHLINE|0013914|199.99|99.99|||None|NO|  /  /  |VELO_VITA|W.A
PCL050101||||FINISHLINE|036121710283|24.99|12.50|||None|NO|  /  /  |VELO_VITA|W.A
S-110423||||CLIF|0014399|2.99|40.08|||None|NO|  /  /  |VELO_VITA|W.A
S-110428||||CLIF|0014401|2.99|40.08|||None|NO|  /  /  |VELO_VITA|W.A
S00120101||||FINISHLINE|036121710443|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
S00180101||||FINISHLINE|036121710344|29.99|14.99|||None|NO|  /  /  |VELO_VITA|W.A
S00320101||||FINISHLINE|036121710351|59.99|29.99|||None|NO|  /  /  |VELO_VITA|W.A
SC0050101||||FINISHLINE||599.99|299.99|||None|NO|  /  /  |VELO_VITA|W.A
SC0160101||||FINISHLINE|036121710047|34.99|16.99|||None|NO|  /  /  |VELO_VITA|W.A
SK0090101||||FINISHLINE|036121710931|22.49|10.99|||None|NO|  /  /  |VELO_VITA|W.A
SPECIAL SALE ITEM||||||0.00|0.00|||None|NO|  /  /  |VELO_VITA|W.A
T00020101||||FINISHLINE|036121101005|12.99|5.99|||None|NO|  /  /  |VELO_VITA|W.A
T00040101||||FINISHLINE|036121102002|19.99|9.99|||None|NO|  /  /  |VELO_VITA|W.A
W5004010-2||||WHITELIGHT|610990000012|19.99|9.99|||None|NO|  /  /  |VELO_VITA|W.A
W50040102||||WHITELIGHT|610990000012|23.50|10.99|||None|NO|  /  /  |VELO_VITA|W.A
W50080102||||WHITELIGHT|610990000180|32.99|15.99|||None|NO|  /  /  |VELO_VITA|W.A
W50320102||||WHITE LIGHTNING|610990000036|99.99|49.99|||None|NO|  /  /  |VELO_VITA|W.A
W51020102||||WHITELIGHT|610990000029|12.99|5.99|||None|NO|  /  /  |VELO_VITA|W.A
00140113XL|GIORDANA FRC JERSEY BLACK|||GIORDANA|8055528000492|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
00940014S|GIORDANA BODYCLONE FRC WOMENS WINTER JERSEY WHITE|||GIORDANA|805552802129|189.99|94.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
00940014XS|GIORDANA BODYCLONE FRC WOMENS WINTER JERSEY WHITE|||GIORDANA|805552802128|189.99|94.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
01040114XS|GIORDANA SILVERLINE WOMENS WINTER JACKET BLACK|||GIORDANA|805552802148|199.99|99.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
01140114L|GIORDANA SILVERLINE WOMENS WINTER JERSEY BLACK|||GIORDANA|805552802176|139.99|69.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
01140114M|GIORDANA SILVERLINE WOMENS WINTER JERSEY BLACK|||GIORDANA|805552802175|139.99|69.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
052650|ABUS HOME SECURITY LOCK PACK I|||ABUS|4003318052650|239.99|139.99|||None|YES|25/11/19|VELO_VITA|SYDNEY
072938|ABUS OUTDOOR BEACH FLAG|||ABUS|0784927193181|199.99|99.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
08326-6|ABUS POS BANNER SET GRANIT PLUS 640|||ABUS||89.99|44.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
08540114A-L|GIORDANA WOMENS FRC JERSEY BLACK|||GIORDANA|842987066958|159.99|79.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
08540114A-M|GIORDANA WOMENS FRC JERSEY BLACK|||GIORDANA|842987066941|159.99|79.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
09940113M|GIORDANA EXO JERSEY BLACK/CYAN|||GIORDANA|842987055921|229.99|124.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
09940113S|GIORDANA EXO JERSEY BLACK/CYAN|||GIORDANA|842987055914|229.99|124.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
10240113F26XXL|GIORDANA EXO BIBSHORT BLACK/CYAN|||GIORDANA|842987056195|229.99|124.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
110422|CLIF MOCHA + 50mg Caffeine SHOT GEL (24)|||CLIF|722252276223|0.00|46.49|||Good|YES|03/01/20|VELO_VITA|SYDNEY
110423|CLIF RASPBERRY SHOT GEL (24)|||CLIF|722252276230|0.00|46.49|||Good|YES|29/11/19|VELO_VITA|SYDNEY
110426|CLIF DOUBLE EXPRESSO + 100mg Caffeine SHOT GEL (24)|||CLIF|722252276261|0.00|46.49|||Good|YES|29/11/19|VELO_VITA|SYDNEY
110428|CLIF CITRUS + 25mg Caffeine SHOT GEL (24)|||CLIF|722252276285|0.00|46.49|||Good|YES|03/01/20|VELO_VITA|SYDNEY
110429|CLIF CHOCOLATE SHOT GEL (24)|||CLIF|722252276292|0.00|46.49|||Good|YES|03/01/20|VELO_VITA|SYDNEY
11183-9|ABUS GRANIT X-PLUS 540 U-BOLT LOCK + EAZY KF|||ABUS|4003318111839|249.99|149.99|||None|YES|25/11/19|VELO_VITA|SYDNEY
11253-9|ABUS GRANIT 460 U-BOLT + USH 230MM|||ABUS|4003318112539|129.99|74.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
11260-7|ABUS PRO TECTIC 4960 LH NR FRAME LOCK|||ABUS|4003318112607|79.99|39.99|||Low|YES|25/11/19|VELO_VITA|SYDNEY
11273-7|ABUS BORDO U-GRIP 5700 BLACK 80CM|||ABUS|4003318112737|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
11274-4|ABUS BORDO U-GRIP 5700 LIME 80CM|||ABUS|4003318112744|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
11283-6|ABUS BORDO U-GRIP 5700 BLUE 80CM|||ABUS|4003318112836|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
11284-3|ABUS BORDO 5700 CARRIER|||ABUS|4003318112843|29.99|17.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
118062|CLIF STRAWBERRY SHOT BLOKS (18)|||CLIF|722252380623|0.00|69.99|||Good|YES|29/11/19|VELO_VITA|SYDNEY
